,ffa_ceiling,ffa_floor,ffa_points,name,roto_ceiling,roto_floor,roto_points
0,143.93628489999998,108.029126226,130.72504431,PointsSort1,272.30873999999994,103.708,147.57
1,139.70498331,106.896888075,124.93067965,PointsSort2,274.94687,102.93703000000001,146.37
2,142.05209709,106.82213402400001,124.57611188,PointsSort3,267.44053,108.42905,138.75
3,146.13237506,111.655790995,132.31847728,CeilingSort1,274.28877,106.77253,147.54
4,142.47430762,112.87695304900001,127.11783213,CeilingSort2,275.58071,103.99942,144.71
5,142.05209709,106.82213402400001,124.57611188,CeilingSort3,267.44053,108.42905,138.75
6,151.14516986,109.03463832,133.88331701,FloorSort1,273.08268999999996,110.63344000000001,146.01
7,149.38102926000002,107.91624578,132.58102223,FloorSort2,277.43612999999993,111.73616,145.79
8,141.37437323,104.40532646999999,125.68919678099999,FloorSort3,263.42798999999997,112.41326000000001,135.77
9,145.36145412,108.34490254,130.93869056000003,FFA_PointsSort1,246.44593,100.28777000000001,134.67000000000002
10,146.73583531,112.09630726199998,133.00519639,FFA_PointsSort2,265.17389000000003,99.6372,140.35
11,143.64017941,106.13406002599999,130.23982464,FFA_PointsSort3,262.95407,105.14812,137.51
12,151.02153811,108.04998169,133.02960419000001,FFA_CeilingSort1,253.84223,102.21665,138.37
13,148.87817047000001,103.74261462,131.91190028,FFA_CeilingSort2,263.4238,103.34588000000001,138.98999999999998
14,143.75754851,105.68318965499999,128.15041742,FFA_CeilingSort3,259.41686,105.94261,134.72
15,149.90899554,121.36352990600001,138.31698689,FFA_FloorSort1,267.32406000000003,103.16112999999999,147.02
16,142.71736629,117.306481901,132.13929666,FFA_FloorSort2,266.73567,100.1537,142.43
17,135.42298841000002,113.59145552700001,125.07317241,FFA_FloorSort3,249.31650000000002,101.55179,128.72
