Theo Riddick,4000,DET,RB,SFO,18.09095,7.68345,9.05
Kerryon Johnson,4200,DET,RB,SFO,18.88548,6.8748,10.11
John Kelly,4500,LAR,RB,ARI,2.71864,1.36,1.36
Malcolm Brown,3500,LAR,RB,ARI,9.45527,4.73,4.73
Matt Breida,4800,SFO,RB,DET,18.67066,8.33128,9.34
Alfred Morris,3600,SFO,RB,DET,20.19762,7.47495,10.17
Jalen Richard,3700,OAK,RB,DEN,12.27386,6.14,6.14
Doug Martin,4200,OAK,RB,DEN,11.03448,5.19984,5.52
Marshawn Lynch,5500,OAK,RB,DEN,20.2665,8.0379,11.45
Kyle Juszczyk,3200,SFO,RB,DET,10.27486,4.626,5.14
Todd Gurley,9200,LAR,RB,ARI,38.01258,13.40676,20.07
Derrick Coleman,3000,ARI,RB,LAR,2.61869,1.31,1.31
Melvin Gordon,7400,LAC,RB,BUF,35.24352,11.649,21.18
Austin Ekeler,4400,LAC,RB,BUF,13.33333,6.05636,6.67
Derek Watt,3000,LAC,RB,BUF,3.49825,1.75,1.75
Devonta Freeman,6000,ATL,RB,CAR,27.10428,11.42724,15.74
Chris Ivory,4200,BUF,RB,LAC,4.31784,2.16,2.16
Marcus Murphy,3000,BUF,RB,LAC,9.75512,4.39688,4.88
David Johnson,8200,ARI,RB,LAR,32.385,11.14425,19.05
Chase Edmonds,4500,ARI,RB,LAR,11.15442,5.21172,5.58
LeSean McCoy,5700,BUF,RB,LAC,24.41644,8.82976,13.46
Devontae Booker,4000,DEN,RB,OAK,8.27586,3.48588,4.14
Royce Freeman,4600,DEN,RB,OAK,19.7703,7.425,9.9
Sony Michel,4400,NEP,RB,JAC,8.31584,4.16,4.16
Rex Burkhead,4800,NEP,RB,JAC,23.85511,8.84123,12.47
James White,4900,NEP,RB,JAC,20.27128,8.85546,10.58
Phillip Lindsay,4800,DEN,RB,OAK,11.208,8.406,9.34
Leonard Fournette,7300,JAC,RB,NEP,26.67296,9.56612,15.58
T.J. Yeldon,6000,JAC,RB,NEP,16.65167,6.86392,8.33
Corey Grant,4600,JAC,RB,NEP,3.57821,1.79,1.79
Tevin Coleman,5300,ATL,RB,CAR,18.37081,7.94935,9.19
C.J. Anderson,3900,CAR,RB,ATL,13.11344,6.232,6.56
Marlon Mack,4500,IND,RB,WAS,17.53023,6.21501,9.29
Dion Lewis,5000,TEN,RB,HOU,22.90854,9.66078,11.46
Derrick Henry,5200,TEN,RB,HOU,19.64912,7.33596,10.82
Tyler Ervin,3000,HOU,RB,TEN,6.7966,3.4,3.4
Jordan Wilkins,4400,IND,RB,WAS,9.71514,4.374,4.86
Nyheim Hines,4100,IND,RB,WAS,7.89605,3.95,3.95
Latavius Murray,4600,MIN,RB,GBP,12.29334,5.31102,6.19
Robert Kelley,3500,WAS,RB,IND,5.45727,2.73,2.73
Chris Thompson,5900,WAS,RB,IND,18.9905,7.6665,9.5
Adrian Peterson,5500,WAS,RB,IND,23.97927,8.5961,12.83
Alfred Blue,3900,HOU,RB,TEN,12.17391,5.58453,6.09
Lamar Miller,5400,HOU,RB,TEN,23.09696,8.64928,12.08
Jay Ajayi,6300,PHI,RB,TBB,25.64016,9.56592,14.56
Corey Clement,3500,PHI,RB,TBB,14.83258,7.42,7.42
Wendell Smallwood,3000,PHI,RB,TBB,2.28,1.862,1.9
Peyton Barber,4000,TBB,RB,PHI,24.92753,9.00334,12.47
Jacquizz Rodgers,3500,TBB,RB,PHI,9.51524,4.5934,4.76
Dalvin Cook,6500,MIN,RB,GBP,29.35284,9.8494,16.28
Frank Gore,3900,MIA,RB,NYJ,14.17291,6.11867,7.09
Stevan Ridley,3500,PIT,RB,KCC,8.29585,3.81385,4.15
James Conner,6700,PIT,RB,KCC,31.28488,11.62744,16.06
Jaylen Samuels,3000,PIT,RB,KCC,3.75812,1.88,1.88
Kenyan Drake,5800,MIA,RB,NYJ,26.55914,9.03266,14.18
Trenton Cannon,3000,NYJ,RB,MIA,3.998,2,2
Christian McCaffrey,7000,CAR,RB,ATL,30.72685,11.01562,17.71
Alex Armah,3000,CAR,RB,ATL,2.63868,1.32,1.32
Bilal Powell,5100,NYJ,RB,MIA,19.69015,8.95365,9.85
Isaiah Crowell,4600,NYJ,RB,MIA,22.2271,8.3281,11.3
Damien Williams,3000,KCC,RB,PIT,7.57621,3.79,3.79
Kareem Hunt,6200,KCC,RB,PIT,27.59218,10.02155,14.63
Nick Chubb,3800,CLE,RB,NOS,2.35882,1.18,1.18
Duke Johnson,4200,CLE,RB,NOS,17.90712,7.54936,9.52
Ty Montgomery,3700,GBP,RB,MIN,14.07296,6.56832,7.04
Jamaal Williams,5200,GBP,RB,MIN,25.3114,9.71535,13.55
Carlos Hyde,4900,CLE,RB,NOS,23.13822,8.77742,12.38
Zach Line,3000,NOS,RB,CLE,4.05797,2.03,2.03
Spencer Ware,4100,KCC,RB,PIT,14.31284,6.6588,7.16
Alvin Kamara,9500,NOS,RB,CLE,41.05208,15.475,24.76
Mike Gillislee,3300,NOS,RB,CLE,13.23338,5.95138,6.62
