Alshon Jeffery,5700,PHI,WR,TEN,18.43078,7.94764,9.22,9.876161702,2.14,7.074024362
Kamar Aiken,3000,PHI,WR,TEN,6.63668,3.32,3.32,4.591697317,0.42,2.462702787
Nelson Agholor,5700,PHI,WR,TEN,24.10794,9.92538,12.06,14.74503664,11.18295518,12.8914313
Andre Holmes,3300,BUF,WR,GBP,10.49475,5.25,5.25,6.195227964,0.84,4.406374313
Robert Foster,3000,BUF,WR,GBP,4.74096,2.38,2.38,3.367383721,1.47,2.609886429
Jordan Matthews,3600,PHI,WR,TEN,8.71564,4.36,4.36,6.661651513,2.052521008,4.45750574
Corey Davis,5300,TEN,WR,PHI,24.20789,10.23295,12.11,13.79947251,11.54,12.67887383
Darius Jennings,3000,TEN,WR,PHI,2.626,1.818,2.02,1.146029787,0,0.465133566
Taywan Taylor,4000,TEN,WR,PHI,14.83258,7.42,7.42,8.779832827,3.75,6.095091958
Tajae Sharpe,3100,TEN,WR,PHI,12.91354,6.46,6.46,5.380622093,3.10345295,4.216029905
Zay Jones,3500,BUF,WR,GBP,12.89355,6.45,6.45,6.79694711,4.323,5.888448329
Kelvin Benjamin,3600,BUF,WR,GBP,16.55172,7.11252,8.28,10.43340777,6.588917639,8.858765788
Mike Evans,7900,TBB,WR,CHI,30.5175,13.44335,15.65,18.16022807,15.22,16.9859166
DeSean Jackson,5700,TBB,WR,CHI,20.14992,10.08,10.08,12.62914314,8.53713582,10.54797837
Kevin White,3000,CHI,WR,TBB,9.13543,4.57,4.57,4.294249955,0.54,2.583411048
Josh Bellamy,3000,CHI,WR,TBB,10.51474,5.26,5.26,3.855021277,0.65,2.435361775
Allen Robinson,5900,CHI,WR,TBB,29.6361,11.5028,14.9,17.32012251,10.21,14.15816274
Taylor Gabriel,3900,CHI,WR,TBB,17.991,7.821,9,9.160395137,5.558,7.800593891
Chris Godwin,4500,TBB,WR,CHI,19.93003,9.3718,9.97,10.56407848,6.651515349,8.968038394
Adam Humphries,3200,TBB,WR,CHI,12.97351,6.49,6.49,7.597670013,3.944211681,6.000847483
DeAndre Hopkins,8400,HOU,WR,IND,38.21628,12.36468,20.04,22.67054389,13.151,19.13683921
Will Fuller,6800,HOU,WR,IND,28.59655,11.66115,14.45,16.7485361,11.11495518,14.24465775
Zach Pascal,3000,IND,WR,HOU,4.43778,2.22,2.22,1.59767234,0,0.930577212
Chester Rogers,3300,IND,WR,HOU,13.77311,6.89,6.89,6.873226744,4.054802048,5.561340731
T.Y. Hilton,7000,IND,WR,HOU,31.0923,12.11472,16.11,17.42976344,12.15963585,15.44781936
Ryan Grant,4200,IND,WR,HOU,17.57121,8.79,8.79,8.535974155,7.77,8.182070726
Josh Malone,3000,CIN,WR,ATL,2.09895,1.05,1.05,2.145002128,0,1.068570941
John Ross,3300,CIN,WR,ATL,13.55322,6.78,6.78,7.952107017,1.495361345,5.881212646
Julio Jones,8200,ATL,WR,CIN,35.17465,14.41853,20.51,22.13422646,17.07,19.71653465
A.J. Green,7500,CIN,WR,ATL,33.1962,13.5054,18.3,20.48733123,13.57,17.59739834
Tyler Boyd,4600,CIN,WR,ATL,23.42828,9.75104,11.72,13.16100276,10.12807819,11.73659689
Justin Hardy,3000,ATL,WR,CIN,4.21789,2.11,2.11,2.592775864,0.257078189,1.443923849
Marvin Hall,3000,ATL,WR,CIN,4.1979,2.1,2.1,1.937239,0.23,1.103918089
Calvin Ridley,4900,ATL,WR,CIN,25.50724,12.76,12.76,13.29329945,9.123946631,11.61107111
Mohamed Sanu,3600,ATL,WR,CIN,19.85007,8.19225,9.93,9.965942773,6.477435923,8.510704647
Vyncint Smith,3000,HOU,WR,IND,12.3938,6.2,6.2,3.033659574,0,1.272703571
Keke Coutee,3000,HOU,WR,IND,4.182,1.968,2.46,4.197697674,1.799,3.146112204
Michael Gallup,3400,DAL,WR,DET,10.15492,5.08,5.08,6.64885,3.015584593,4.716603523
Golden Tate,6600,DET,WR,DAL,29.99012,11.40678,16.46,18.07281081,13.3,15.84764321
Allen Hurns,3600,DAL,WR,DET,14.45277,6.60099,7.23,7.682633028,5.001121892,6.418342879
Deonte Thompson,3500,DAL,WR,DET,15.3923,7.0301,7.7,6.172857179,4.62,5.463833539
Danny Amendola,4100,MIA,WR,NEP,17.45127,7.5078,8.73,12.19832439,7.25,9.819142053
Cole Beasley,3900,DAL,WR,DET,19.05047,7.8146,9.53,10.278075,3.98,7.978349905
Kenny Golladay,6500,DET,WR,DAL,28.45213,11.96712,15.11,15.29361502,11.29,13.59324124
Marvin Jones,5200,DET,WR,DAL,22.24272,9.69076,12.44,12.60800652,9.892437873,11.86672141
Geronimo Allison,4700,GBP,WR,BUF,20.26986,10.14,10.14,11.3781686,8.502683473,9.971483635
Marquez Valdes-Scantling,3000,GBP,WR,BUF,2.47876,1.24,1.24,2.8689825,0.44,1.738553152
Randall Cobb,5100,GBP,WR,BUF,25.28735,9.82905,12.65,13.278875,6.840958069,11.43750745
Davante Adams,7800,GBP,WR,BUF,30.42988,11.35016,16.84,19.00599538,15.69994663,17.42439852
T.J. Jones,3000,DET,WR,DAL,5.29735,2.65,2.65,3.956732558,1.97,3.082902974
Terrance Williams,3000,DAL,WR,DET,2.448,1.938,2.04,4.591495086,0.805,3.090843639
Jakeem Grant,3900,MIA,WR,NEP,14.67266,6.46654,7.34,6.41234034,1.998332138,5.053334607
DeVante Parker,3500,MIA,WR,NEP,17.63118,7.59402,8.82,10.51752294,6.579437156,9.231438803
Quincy Enunwa,4300,NYJ,WR,JAC,23.7881,9.4367,11.9,14.71058328,9.31,12.4758795
Jermaine Kearse,3300,NYJ,WR,JAC,8.1959,3.3825,4.1,6.6213413,3.973643875,5.447364451
D.J. Chark,3000,JAC,WR,NYJ,4.95752,2.48,2.48,3.9637,0.178,2.292713523
Donte Moncrief,3600,JAC,WR,NYJ,16.3918,8.2,8.2,8.19345,5.718092418,7.19140106
Keelan Cole,5400,JAC,WR,NYJ,22.95979,9.60811,11.59,14.47575694,10.56748179,12.52163609
Dede Westbrook,4400,JAC,WR,NYJ,18.47076,8.66712,9.24,10.18363526,6.067199593,8.186348976
Robby Anderson,3600,NYJ,WR,JAC,16.65167,8.33,8.33,9.563165,6.38,8.007616613
Terrelle Pryor,3200,NYJ,WR,JAC,12.67366,6.34,6.34,6.666202038,3.8,5.553245434
Kenny Stills,5800,MIA,WR,NEP,23.64817,10.24478,11.83,15.89203709,10.38017745,12.74516129
Albert Wilson,3700,MIA,WR,NEP,14.7556,6.549,7.4,8.607674419,3.251971187,7.044345225
Cordarrelle Patterson,3200,NEP,WR,MIA,8.75562,4.38,4.38,4.304620504,0.460033371,2.954772419
Phillip Dorsett,4500,NEP,WR,MIA,16.61169,8.31,8.31,7.194237082,4.94,6.468720933
Chris Hogan,5800,NEP,WR,MIA,27.40629,12.4761,13.71,12.41651376,8.766955182,11.10643479
Josh Gordon,6200,NEP,WR,MIA,17.97101,7.56059,8.99,12.01838,1.56,7.739060984
