name,roto_points,roto_ceiling,roto_floor,ffa_points,ffa_ceiling,ffa_floor
PointsSort1,124.44,212.25596000000002,84.5988,115.26848762999998,129.11892698100002,97.60189202299999
PointsSort2,126.25,230.27539000000002,89.93981,117.983481053,133.069519604,96.265700763
PointsSort3,116.07000000000001,219.86296,100.41671,102.87678542100001,120.840640107,84.78738659399998
CeilingSort1,121.57,217.75028000000003,84.68524,111.944948036,126.694191081,93.54808351199999
CeilingSort2,127.29000000000002,236.40783,91.83328999999999,118.022105742,135.409611243,95.120519351
CeilingSort3,116.07000000000001,219.86296,100.41671,102.87678542100001,120.840640107,84.78738659399998
FloorSort1,119.14,217.65157,87.45696,112.16196400899999,126.33509998699999,92.295592563
FloorSort2,122.85,230.36585000000002,94.91414999999999,114.941969547,131.77351935299998,89.136428401
FloorSort3,114.55999999999999,217.71147000000002,100.65226999999999,99.400054798,115.197879007,80.697386594
FFA_PointsSort1,123.65000000000002,211.71401,80.27717,119.702407489,128.67198430599998,103.25376892999998
FFA_PointsSort2,125.7,228.28535,86.22849,123.95420432700001,135.45315813399998,100.87062248800001
FFA_PointsSort3,117.62,219.62761,96.88453000000001,105.258176207,125.74676914399998,87.054569046
FFA_CeilingSort1,123.50000000000001,211.41415999999998,80.20022,118.06365052299998,128.354419174,98.48417543299999
FFA_CeilingSort2,125.63,228.14542,86.15848999999999,122.84941997300001,136.163001553,99.13241501600001
FFA_CeilingSort3,114.04,217.02982,97.41771,103.836225048,124.38860217399998,85.52873941099999
FFA_FloorSort1,123.83000000000003,210.26633,79.54992000000001,118.79038662699999,128.58082326,103.66849485599998
FFA_FloorSort2,122.37000000000002,229.13033000000001,87.20069,120.513060353,134.756353623,99.49870170599999
FFA_FloorSort3,112.35,212.47147,93.75553,119.132156131,134.687000421,100.547200702
